question,answer
marginal,biên độ
nightfall,chạng vạng
nimble,nhanh nhẹn
nourish,nuôi
nursery,vườn ươm
obfuscate,làm lu mờ
oblige,bắt buộc
observance,sự tuân thủ
organ,cơ quan
ordinarily,thông thường
ordinance,sắc lệnh
paddle,mái chèo
painkiller,thuốc giảm đau
paralysis,tê liệt
parlor,phòng khách
parliament,quốc hội
pavilion,gian hàng
peddler,người bán hàng rong
perspire,đổ mồ hôi
ornamental,trang trí
outpatient,bệnh nhân ngoại trú
outreach,tiếp cận
outsell,bán chạy hơn
outweigh,vượt trội hơn
parcel,bưu kiện
perpetual,vĩnh viễn
petition,đơn kiến nghị
perturbed,bối rối
pertinent,có liên quan
pioneer,người tiên phong
pique,sự khiêu khích
pity,lòng thương xót
plausible,có thể xảy ra
portray,miêu tả
pragmatic,thực dụng
precaution,biện pháp phòng ngừa
preach,rao giảng
precede,đi trước
preclude,ngăn chặn
preeminent,nổi bật
preheat,làm nóng trước
preliminary,sơ bộ
prerequisite,điều kiện tiên quyết
presiding,chủ trì
prestigious,uy tín
presumably,có lẽ
procrastinate,trì hoãn
procurement,mua sắm
quarantine,cách ly
rally,tập hợp
realization,sự thực hiện
redeem,chuộc lại
recuperate,hồi phục
refrigerator,tủ lạnh
reimburse,hoàn trả
respire,hít thở
scaffolding,giàn giáo
scarcity,sự khan hiếm
scarce,khan hiếm
scatter,tiêu tan
scenery,phong cảnh
seasickness,say sóng
secretarial,thư ký
shoelace,dây giày
shrub,cây bụi
shred,xé nhỏ
sleeve,tay áo
skyscraper,tòa nhà chọc trời
sluggish,chậm chạp
slurp,húp một ngụm
smock,áo khoác
solicit,mời chào
solitary,đơn độc
sparsely,thưa thớt
splash,bắn tung tóe
splendor,sự lộng lẫy
spray,phun
spouse,vợ chồng
spurious,giả mạo
spry,nhanh nhẹn
squeaky,cót két
stagnant,trì trệ
stance,lập trường
stationary,đứng yên
stationery,văn phòng phẩm
stipulation,điều khoản
stomachache,đau bụng
stylishly,một cách sành điệu
sturdily,vững chắc
suburb,vùng ngoại ô
succinct,ngắn gọn
surrender,đầu hàng
susceptible,dễ bị tổn thương
surplus,thặng dư
symmetrically,đối xứng
symposium,hội thảo
synergy,sự hiệp lực
synthetic,tổng hợp
synthesis,tổng hợp
tangible,hữu hình
turbulence,sự hỗn loạn
vegetarian,người ăn chay
accuse,buộc tội
armed,có vũ trang
bacteria,vi khuẩn
beef,thịt bò
bend,uốn cong
biscuit,bánh quy
blonde,tóc vàng
brave,can đảm
church,nhà thờ
civil,dân sự
clue,manh mối
criticize,chỉ trích
criminal,tội phạm
cruel,tàn nhẫn
cupboard,cái tủ
depressed,trầm cảm
divorced,đã ly hôn
escape,bỏ trốn
harm,làm hại
hardly,khắc nghiệt
humour,sự hài hước
innocent,vô tội
mineral,khoáng sản
minister,bộ trưởng
mystery,bí ẩn
nuclear,hạt nhân
mysterious,bí ẩn
poisonous,độc hại
poison,chất độc
priest,linh mục
psychology,tâm lý
pupil,học sinh
rugby,bóng bầu dục
rude,bất lịch sự
shame,nỗi tủi nhục
shine,chiếu sáng
shallow,nông
shiny,sáng bóng
spirit,tinh thần
square,quảng trường
stomach,cái bụng
concede,nhượng bộ
compulsory,bắt buộc
confer,trao
confess,xưng
critique,phê bình
creep,leo
crude,thô
cultivate,trồng trọt
democracy,nền dân chủ
denounce,tố cáo
devastate,tàn phá
descent,dòng dõi
diagnosis,chẩn đoán
deteriorate,xấu đi
dignity,phẩm giá
diplomat,nhà ngoại giao
diminish,giảm bớt
era,thời đại
erupt,phun trào
erect,dựng đứng
exotic,kỳ lạ
exile,lưu vong
exert,phát huy
feminist,nhà nữ quyền
genocide,diệt chủng
glance,liếc nhìn
glimpse,thoáng nhìn
grief,đau buồn
glorious,vinh quang
hostile,thù địch
humanitarian,nhân đạo
hostage,con tin
humble,khiêm tốn
ideological,tư tưởng
illusion,ảo tưởng
imminent,sắp xảy ra
incentive,khích lệ
imprisonment,sự giam cầm
indigenous,bản địa
indulge,nuông chiều
interim,tạm thời
ironically,trớ trêu thay
judicial,tư pháp
kidney,quả thận
kidnap,bắt cóc
liver,gan
mandate,nhiệm vụ
massacre,thảm sát
militant,chiến binh
missile,tên lửa
misery,đau khổ
monopoly,độc quyền
monk,nhà sư
momentum,động lượng
myth,huyền thoại
municipal,thành phố
obesity,béo phì
oral,miệng
petition,đơn kiến nghị
pirate,cướp biển
plunge,lao xuống
pledge,lời cam kết
prevail,chiếm ưu thế
presume,cho rằng
psychiatric,tâm thần học
racist,phân biệt chủng tộc
