question,answer
carbon,cacbon
cargo,hàng hóa
carriage,xe
carve,khắc
casino,sòng bạc
casual,bình thường
casualty,thương vong
catalogue,danh mục
cater,phục vụ
cattle,gia súc
caution,thận trọng
cautious,thận trọng
cave,hang
cease,ngưng
cemetery,nghĩa trang
certainty,sự chắc chắn
certificate,giấy chứng nhận
challenging,thách thức
chamber,buồng
championship,chức vô địch
chaos,sự hỗn loạn
characterize,đặc trưng
charm,sự quyến rũ
charming,quyến rũ
charter,hiến chương
chase,đuổi
cheek,má
cheer,reo hò
choir,hợp xướng
chop,chặt
chronic,mãn tính
chunk,khối
circuit,mạch điện
circulate,lưu thông
circulation,lưu thông
citizenship,quyền công dân
civic,dân sự
civilian,dân sự
civilization,nền văn minh
clarify,làm rõ
clarity,sự rõ ràng
clash,xung đột
classification,phân loại
classify,phân loại
cleaning,vệ sinh
clerk,nhân viên văn phòng
cliff,vách đá
cling,bám chặt
clinic,phòng khám
clinical,lâm sàng
clip,kẹp
closure,đóng cửa
cluster,cụm
coalition,liên minh
coastal,ven biển
cocktail,cocktail
cognitive,nhận thức
coincide,trùng hợp
coincidence,sự trùng hợp ngẫu nhiên
collaborate,hợp tác
collaboration,sự hợp tác
collective,tập thể
collector,người sưu tầm
collision,va chạm
colonial,thuộc địa
colony,thuộc địa
colourful,đầy màu sắc
columnist,chuyên mục
combat,chiến đấu
comic,truyện tranh
commander,chỉ huy
commence,bắt đầu
commentary,bình luận
commentator,bình luận viên
commerce,thương mại
commissioner,ủy viên
commodity,hàng hóa
communist,cộng sản
companion,người bạn đồng hành
comparable,có thể so sánh được
comparative,so sánh
compassion,lòng trắc ẩn
compel,ép buộc
compelling,hấp dẫn
compensate,đền bù
compensation,đền bù
competence,năng lực
competent,có năng lực
compile,biên dịch
complement,bổ sung
completion,hoàn thành
complexity,sự phức tạp
compliance,Tuân thủ
complication,biến chứng
comply,tuân theo
compose,soạn thảo
composer,nhà soạn nhạc
composition,thành phần
compound,hợp chất
comprehensive,toàn diện
comprise,bao gồm
compromise,thỏa hiệp
compulsory,bắt buộc
compute,tính toán
conceal,che giấu
concede,nhượng bộ
conceive,thụ thai
conception,sự thụ thai
concession,nhượng bộ
concrete,bê tông
condemn,lên án
confer,trao
confess,xưng
confession,lời thú tội
configuration,cấu hình
confine,giới hạn
confirmation,xác nhận
confront,đối đầu
confrontation,sự đối đầu
confusion,lú lẫn
congratulate,chúc mừng
congregation,giáo đoàn
congressional,quốc hội
conquer,chinh phục
conscience,lương tâm
consciousness,ý thức
consecutive,liên tiếp
consensus,sự đồng thuận
consent,bằng lòng
consequently,do đó
conservation,bảo tồn
conserve,bảo tồn
considerable,đáng kể
considerably,đáng kể
consistency,tính nhất quán
consistently,một cách nhất quán
consolidate,hợp nhất
conspiracy,âm mưu
constituency,khu vực bầu cử
constitute,cấu thành
constitution,cấu tạo
constitutional,hiến pháp
constraint,ràng buộc
consult,tham khảo ý kiến
consultant,tư vấn
consultation,tư vấn
consumption,sự tiêu thụ
contemplate,suy ngẫm
contempt,sự khinh miệt
contend,tranh luận
contender,ứng cử viên
content,nội dung
contention,sự tranh chấp
continually,liên tục
contractor,Nhà thầu
contradiction,mâu thuẫn
contrary,trái ngược
contributor,người đóng góp
controversial,gây tranh cãi
controversy,tranh cãi
convenience,sự tiện lợi
convention,hội nghị
conventional,thông thường
conversion,sự chuyển đổi
convey,truyền đạt
convict,người bị kết án
conviction,sự kết án
convincing,thuyết phục
cooperate,hợp tác
cooperative,hợp tác xã
coordinate,điều phối
coordination,sự phối hợp
coordinator,điều phối viên
cop,cảnh sát
cope,đối phó
copper,đồng
copyright,bản quyền
corporation,tập đoàn
correction,sửa chữa
correlate,tương quan
correlation,tương quan
correspond,tương ứng
correspondence,thư từ
correspondent,phóng viên
corresponding,tương ứng
corridor,hành lang
corrupt,tham nhũng
corruption,tham nhũng
costly,tốn kém
councillor,ủy viên
counselling,tư vấn
counsellor,cố vấn
counter,quầy tính tiền
counterpart,đối tác
countless,vô số
coup,đảo chính
courtesy,sự lịch sự
coverage,phạm vi phủ sóng
crack,nứt
craft,thủ công
crawl,bò
creativity,sự sáng tạo
creator,người sáng tạo
credibility,độ tin cậy
credible,đáng tin cậy
creep,leo
critically,phê bình
critique,phê bình
crown,vương miện
crude,thô
cruise,du thuyền
crush,người mình thích
crystal,pha lê
cue,tín hiệu
cult,giáo phái
cultivate,trồng trọt
curiosity,sự tò mò
curious,tò mò
curriculum,chương trình giảng dạy
custody,quyền nuôi con
cute,dễ thương
cutting,cắt
cynical,hoài nghi
dairy,sữa
dam,đập
damaging,gây hại
dare,dám
darkness,bóng tối
database,cơ sở dữ liệu
dawn,bình minh
deadline,thời hạn
deadly,chết người
dealer,người bán hàng
debris,mảnh vỡ
debut,ra mắt
decision-making,ra quyết định
decisive,quyết định
deck,boong tàu
declaration,tuyên ngôn
dedicated,tận tụy
dedication,sự cống hiến
deed,hành động
deem,cho rằng
default,mặc định
defect,khuyết điểm
defender,hậu vệ
defensive,phòng thủ
deficiency,thiếu hụt
deficit,thâm hụt
defy,thách thức
delegate,đại biểu
delegation,phái đoàn
delete,xóa bỏ
delicate,thanh tú
democracy,nền dân chủ
democratic,dân chủ
demon,quỷ dữ
demonstration,biểu tình
denial,sự phủ nhận
denounce,tố cáo
dense,dày đặc
density,Tỉ trọng
depart,khởi hành
dependence,sự phụ thuộc
dependent,sự phụ thuộc
depict,miêu tả
deploy,triển khai
deployment,triển khai
deposit,tiền gửi
depression,trầm cảm
deprive,tước đoạt
deputy,phó
derive,suy ra
descend,đi xuống
descent,dòng dõi
designate,chỉ định
desirable,mong muốn
desktop,máy tính để bàn
desperately,tuyệt vọng
destruction,sự phá hủy
destructive,phá hoại
detain,giam
detection,phát hiện
detention,giam giữ
deteriorate,xấu đi
determination,sự quyết tâm
devastate,tàn phá
devil,quỷ dữ
devise,thiết kế
devote,cống hiến
diagnose,chẩn đoán
diagnosis,chẩn đoán
dictate,ra lệnh
dictator,nhà độc tài
differ,khác biệt
differentiate,phân biệt
dignity,phẩm giá
dilemma,tình thế tiến thoái lưỡng nan
dimension,kích thước
diminish,giảm bớt
dip,nhúng
diplomat,nhà ngoại giao
diplomatic,ngoại giao
directory,thư mục
disability,khuyết tật
disabled,tàn tật
disagreement,sự bất đồng
disappoint,thất vọng
disappointment,sự thất vọng
disastrous,thảm khốc
discard,bỏ đi
discharge,phóng điện
disclose,tiết lộ
disclosure,tiết lộ
discourage,làm nản lòng
discourse,diễn ngôn
discretion,sự thận trọng
discrimination,phân biệt
dismissal,sa thải
disorder,rối loạn
displace,dịch chuyển
disposal,xử lý
dispose,vứt bỏ
dispute,tranh luận
disrupt,làm gián đoạn
disruption,sự gián đoạn
dissolve,hòa tan
distant,xa xôi
distinct,riêng biệt
distinction,sự phân biệt
distinctive,đặc biệt
distinguish,phân biệt
distort,bóp méo
distract,làm sao lãng
distress,đau khổ
disturb,quấy rầy
disturbing,đáng lo ngại
dive,lặn
diverse,phong phú
diversity,đa dạng
divert,chuyển hướng
divine,thần thánh
divorce,ly hôn
doctrine,học thuyết
documentation,tài liệu
domain,lãnh địa
dominance,sự thống trị
dominant,trội
donation,quyên góp
donor,người hiến tặng
dose,liều lượng
dot,chấm
downtown,trung tâm thành phố
drain,làm khô hạn
dramatically,đáng kể
drift,trôi dạt
driving,lái xe
drought,hạn hán
drown,chết đuối
dual,hai
dub,lồng tiếng
dull,đần độn
dumb,câm
dump,bãi rác
duo,cặp đôi
duration,khoảng thời gian
dynamic,năng động
eager,háo hức
earnings,thu nhập
ease,xoa dịu
echo,tiếng vang
ecological,sinh thái
economics,kinh tế học
economist,nhà kinh tế học
editorial,biên tập
educator,nhà giáo dục
effectiveness,hiệu quả
efficiency,hiệu quả
efficiently,một cách hiệu quả
ego,cái tôi
elaborate,phức tạp
elbow,khuỷu tay
electoral,bầu cử
electronics,thiết bị điện tử
elegant,thanh lịch
elementary,tiểu học
elevate,nâng
eligible,đạt chuẩn
eliminate,loại bỏ
elite,ưu tú
embark,tham gia
embarrassment,sự xấu hổ
embassy,đại sứ quán
embed,nhúng
embody,hiện thân
embrace,ôm
emergence,sự xuất hiện
emission,khí thải
emotionally,về mặt cảm xúc
empire,đế chế
empirical,thực nghiệm
empower,trao quyền
enact,ban hành
encompass,bao gồm
encouragement,sự khích lệ
encouraging,khuyến khích
endeavour,nỗ lực
endless,vô tận
endorse,xác nhận
endorsement,sự chứng thực
endure,chịu đựng
enforce,thực thi
enforcement,thực thi
engagement,hôn ước
engaging,hấp dẫn
enjoyable,thú vị
enquire,hỏi thăm
enrich,làm giàu
enrol,tham gia
ensue,xảy ra
enterprise,doanh nghiệp
entertaining,giải trí
enthusiast,người đam mê
entitle,quyền
entity,thực thể
entrepreneur,doanh nhân
envelope,phong bì
epidemic,bệnh dịch
equality,sự bình đẳng
equation,phương trình
equip,trang bị
equivalent,tương đương
era,thời đại
erect,dựng đứng
erupt,phun trào
escalate,leo thang
essence,nước hoa
essentially,Thiết yếu
establishment,sự thành lập
eternal,vĩnh cửu
ethic,đạo đức
ethnic,dân tộc
evacuate,sơ tán
evaluation,sự đánh giá
evident,rõ ràng
evoke,gợi lên
evolution,sự tiến hóa
evolutionary,tiến hóa
evolve,tiến hóa
exaggerate,nói quá
exceed,quá
excellence,sự xuất sắc
exception,ngoại lệ
exceptional,ngoại lệ
excess,thặng dư
excessive,quá mức
exclude,loại trừ
exclusion,loại trừ
exclusive,loại trừ
exclusively,độc quyền
execute,thực hiện
execution,thực hiện
exert,phát huy
exhibit,triển lãm
exile,lưu vong
exit,ra
exotic,kỳ lạ
expansion,sự mở rộng
expenditure,chi tiêu
experimental,thử nghiệm
expertise,chuyên môn
expire,hết hạn
explicit,rõ ràng
explicitly,một cách rõ ràng
exploit,khai thác
exploitation,sự khai thác
explosive,chất nổ
exposure,phơi bày
extension,sự mở rộng
extensive,rộng rãi
extensively,rộng rãi
extract,trích xuất
extremist,cực đoan
fabric,vải vóc
fabulous,tuyệt vời
facilitate,tạo điều kiện
faction,phe phái
faculty,khoa
fade,phai
failed,thất bại
fairness,sự công bằng
fake,giả mạo
fame,danh tiếng
fantasy,tưởng tượng
fare,giá vé
fatal,gây tử vong
fate,định mệnh
favourable,thuận lợi
feat,chiến công
federal,liên bang
feeding,cho ăn
feminist,nhà nữ quyền
fever,sốt
fibre,chất xơ
fierce,mạnh mẽ
film-maker,nhà làm phim
filter,lọc
fine,khỏe
firearm,súng ống
firefighter,lính cứu hỏa
firework,pháo hoa
firm,vững chãi
firmly,chắc chắn
fit,phù hợp
fixture,đồ đạc
flavour,hương vị
flaw,khuyết điểm
flawed,có khuyết điểm
flee,chạy trốn
fleet,hạm đội
flesh,thịt
flexibility,tính linh hoạt
flourish,phát triển mạnh mẽ
fluid,dịch
fond,ngây thơ
fool,ngu xuẩn
footage,cảnh quay
forbid,cấm
forecast,dự báo
foreigner,người nước ngoài
forge,rèn
format,định dạng
formation,sự hình thành
formerly,trước đây
formula,công thức
formulate,xây dựng công thức
forth,ra
forthcoming,sắp tới
fortunate,may mắn
forum,diễn đàn
fossil,hóa thạch
foster,nuôi dưỡng
foundation,sự thành lập
founder,người sáng lập
fraction,phân số
fragile,dễ vỡ
fragment,mảnh vỡ
framework,khung
franchise,nhượng quyền thương mại
frankly,thẳng thắn
fraud,gian lận
freely,tự do
frequent,thường xuyên
frustrated,bực bội
frustrating,làm nản lòng
frustration,sự thất vọng
fulfil,thực hiện
full-time,toàn thời gian
functional,chức năng
fundamentally,về cơ bản
fundraising,gây quỹ
funeral,tang lễ
furious,giận dữ
gallon,gallon
gambling,cờ bạc
gaming,chơi game
gathering,tụ tập
gay,đồng tính
gaze,cái nhìn chằm chằm
gear,bánh răng
gender,giới tính
gene,gen
generic,chung chung
genetic,di truyền
genius,thiên tài
genocide,diệt chủng
genuine,thành thật
genuinely,thực sự
gesture,cử chỉ
gig,buổi biểu diễn
glance,liếc nhìn
glimpse,thoáng nhìn
globalization,toàn cầu hóa
globe,khối cầu
glorious,vinh quang
glory,vinh quang
golden,vàng
goodness,lòng tốt
gorgeous,lộng lẫy
governance,quản trị
governor,thống đốc
grace,duyên dáng
graphic,đồ họa
graphics,đồ họa
grasp,nắm bắt
grave,ngôi mộ
gravity,trọng lực
greatly,rất nhiều
greenhouse,nhà kính
grid,lưới
grief,đau buồn
grin,cười toe toét
grind,xay
grip,va li
grocery,cửa hàng tạp hóa
guerrilla,du kích
guidance,hướng dẫn
guideline,hướng dẫn
guilt,tội lỗi
gut,ruột
habitat,môi trường sống
hail,kêu
halfway,nửa chừng
halt,dừng lại
handful,một nắm
handling,xử lý
handy,tiện dụng
harassment,quấy rối
harbour,bến cảng
hardware,phần cứng
harmony,hòa hợp
harsh,thô ráp
harvest,mùa gặt
hatred,sự căm ghét
haunt,ám ảnh
hazard,nguy hiểm
headquarters,trụ sở chính
heal,chữa lành
healthcare,chăm sóc sức khỏe
heighten,nâng cao
helmet,mũ bảo hiểm
hence,kể từ đây
herb,thảo mộc
heritage,di sản
hidden,ẩn giấu
hierarchy,hệ thống phân cấp
high-profile,nổi tiếng
highway,đường cao tốc
hilarious,vui vẻ
hint,gợi ý
hip,hông
historian,nhà sử học
homeland,quê hương
homeless,vô gia cư
honesty,sự trung thực
hook,cái móc
hopeful,hy vọng
hopefully,hy vọng là
horizon,chân trời
horn,sừng
hostage,con tin
hostile,thù địch
hostility,sự thù địch
humanitarian,nhân đạo
humanity,nhân loại
humble,khiêm tốn
hunger,cơn đói
hydrogen,hydro
hypothesis,giả thuyết
icon,biểu tượng
identical,giống hệt nhau
identification,nhận dạng
ideological,tư tưởng
ideology,hệ tư tưởng
idiot,kẻ ngốc
ignorance,sự thiếu hiểu biết
illusion,ảo tưởng
imagery,hình ảnh
immense,bao la
immigration,nhập cư
imminent,sắp xảy ra
immune,miễn dịch
implement,thực hiện
implementation,thực hiện
implication,ngụ ý
imprison,giam cầm
imprisonment,sự giam cầm
inability,sự bất lực
inadequate,không đủ
inappropriate,không phù hợp
incentive,khích lệ
incidence,tỷ lệ mắc bệnh
inclined,nghiêng
inclusion,sự bao gồm
incorporate,kết hợp
incorrect,không đúng
incur,phát sinh
independence,sự độc lập
index,chỉ số
indication,chỉ định
indicator,chỉ số
indictment,bản cáo trạng
indigenous,bản địa
induce,gây ra
indulge,nuông chiều
inequality,bất bình đẳng
inevitable,không thể tránh khỏi
infamous,tai tiếng
infant,trẻ sơ sinh
infect,lây nhiễm
infer,suy ra
inflation,lạm phát
inflict,gây ra
influential,có ảnh hưởng
info,thông tin
infrastructure,cơ sở hạ tầng
inhabitant,cư dân
inherent,vốn có
inherit,thừa kế
inhibit,ức chế
initiate,khởi xướng
inject,tiêm
injection,tiêm
injustice,sự bất công
ink,mực
inmate,tù nhân
innovation,sự đổi mới
innovative,đổi mới
input,đầu vào
insert,chèn
insertion,chèn
insider,người trong cuộc
inspect,thanh tra
inspection,điều tra
inspector,thanh tra
inspiration,cảm hứng
installation,cài đặt
instant,lập tức
instantly,ngay lập tức
instinct,bản năng
institutional,thể chế
instruct,hướng dẫn
instrumental,nhạc cụ
insufficient,không đủ
insult,sự sỉ nhục
intact,còn nguyên vẹn
intake,lượng tiêu thụ
integral,tích phân
integrate,tích hợp
integrated,tích hợp
integration,tích hợp
integrity,chính trực
intellectual,trí tuệ
intensify,tăng cường
intensity,cường độ
intensive,căng
intent,ý định
interact,tương tác
interaction,sự tương tác
interactive,tương tác
interface,giao diện
interfere,can thiệp
interference,sự can thiệp
interim,tạm thời
interior,nội thất
intermediate,trung cấp
interpretation,diễn giải
interval,khoảng thời gian
intervene,can thiệp
intervention,sự can thiệp
intimate,thân mật
intriguing,hấp dẫn
invade,xâm lược
invasion,cuộc xâm lược
investigator,điều tra viên
investor,nhà đầu tư
invisible,vô hình
invoke,gọi
involvement,sự tham gia
ironic,mỉa mai
ironically,trớ trêu thay
irony,sự trớ trêu
irrelevant,không liên quan
isolate,cô lập
isolated,bị cô lập
isolation,sự cách ly
jail,nhà tù
jet,máy bay phản lực
joint,chung
journalism,báo chí
judicial,tư pháp
junction,ngã ba
jurisdiction,thẩm quyền
jury,bồi thẩm đoàn
just,chỉ
justification,sự biện minh
kidnap,bắt cóc
kidney,quả thận
kingdom,vương quốc
kit,bộ dụng cụ
lad,thanh niên
ladder,thang
landing,hạ cánh
landlord,chủ nhà
landmark,mốc
lane,làn đường
lap,vòng
large-scale,quy mô lớn
laser,tia laser
lately,gần đây
latter,sau này
lawn,bãi cỏ
lawsuit,vụ kiện
layout,cách trình bày
leaflet,tờ rơi
leak,hở
leap,nhảy vọt
legacy,di sản
legend,huyền thoại
legendary,huyền thoại
legislation,luật pháp
legislative,lập pháp
legislature,cơ quan lập pháp
legitimate,hợp pháp
lengthy,dài
lens,ống kính
lesbian,đồng tính nữ
lesser,nhỏ hơn
lethal,gây chết người
liable,chịu trách nhiệm
liberal,tự do
liberation,sự giải phóng
liberty,tự do
license,giấy phép
lifelong,suốt đời
lifetime,trọn đời
lighting,chiếu sáng
likelihood,khả năng xảy ra
likewise,tương tự như vậy
limb,chân tay
limitation,hạn chế
line-up,đội hình
linear,tuyến tính
linger,nán lại
listing,danh sách
literacy,biết chữ
literally,theo đúng nghĩa đen
literary,văn học
litre,lít
litter,rác
liver,gan
lobby,sảnh
log,nhật ký
logic,logic
logo,biểu trưng
long-standing,lâu đời
long-time,lâu năm
loom,khung cửi
loop,vòng lặp
lottery,xổ số
loyal,trung thành
loyalty,lòng trung thành
lyric,lời bài hát
machinery,máy móc
magical,kỳ diệu
magistrate,thẩm phán
magnetic,từ tính
magnificent,tráng lệ
magnitude,kích cỡ
mainland,đất liền
mainstream,dòng chính
maintenance,BẢO TRÌ
major,lớn lao
make-up,trang điểm
making,làm
mandate,nhiệm vụ
mandatory,bắt buộc
manifest,biểu hiện
manipulate,thao túng
manipulation,thao tác
manufacture,sản xuất
manufacturing,chế tạo
manuscript,bản thảo
marathon,cuộc chạy marathon
march,bước đều
margin,lề
marginal,biên độ
marine,hàng hải
marker,điểm đánh dấu
marketplace,chợ
martial,võ thuật
mask,mặt nạ
massacre,thảm sát
mate,bạn
mathematical,toán học
mature,trưởng thành
maximize,tối đa hóa
mayor,thị trưởng
meaningful,có ý nghĩa
meantime,trong khi đó
mechanic,thợ cơ khí
mechanical,cơ khí
mechanism,cơ chế
medal,huy chương
medication,thuốc
medieval,thời trung cổ
meditation,thiền định
melody,giai điệu
membership,tư cách thành viên
memo,bản ghi nhớ
memoir,hồi ký
memorable,đáng nhớ
memorial,đài tưởng niệm
mentor,người hướng dẫn
merchant,thương gia
mercy,lòng thương xót
mere,chỉ
merely,chỉ đơn thuần
merge,hợp nhất
merger,sáp nhập
merit,công lao
metaphor,ẩn dụ
methodology,phương pháp luận
midst,giữa
migration,di cư
militant,chiến binh
militia,dân quân
mill,nhà máy
miner,thợ mỏ
minimal,tối thiểu
minimize,thu nhỏ
mining,khai thác mỏ
ministry,bộ
minute,phút
miracle,phép lạ
miserable,khổ sở
misery,đau khổ
misleading,gây hiểu lầm
missile,tên lửa
mob,đám đông
mobility,tính di động
mobilize,huy động
mode,cách thức
moderate,vừa phải
modest,khiêm tốn
modification,sửa đổi
momentum,động lượng
monk,nhà sư
monopoly,độc quyền
monster,quái vật
monthly,hàng tháng
monument,đài kỷ niệm
morality,đạo đức
moreover,Hơn thế nữa
mortgage,thế chấp
mosque,nhà thờ Hồi giáo
motion,cử động
motivate,thúc đẩy
motivation,động lực
motive,động cơ
motorist,người lái xe
moving,di chuyển
municipal,thành phố
mutual,qua lại
myth,huyền thoại
naked,khỏa thân
namely,cụ thể là
nasty,bẩn thỉu
nationwide,toàn quốc
naval,hải quân
navigation,điều hướng
nearby,gần đó
necessity,sự cần thiết
neglect,sao nhãng
negotiate,thương lượng
negotiation,đàm phán
neighbouring,lân cận
nest,tổ
net,mạng lưới
neutral,trung lập
newly,mới
newsletter,bản tin
niche,ngách
noble,cao quý
nod,gật đầu
nominate,đề cử
nomination,đề cử
nominee,người được đề cử
non-profit,phi lợi nhuận
nonetheless,tuy nhiên
nonsense,vô lý
noon,buổi trưa
norm,chuẩn mực
notable,đáng chú ý
notably,đáng chú ý
notebook,sổ tay
notify,thông báo
notorious,khét tiếng
novel,cuốn tiểu thuyết
novelist,tiểu thuyết gia
nowadays,Ngày nay
nursery,vườn ươm
nursing,điều dưỡng
nutrition,dinh dưỡng
obesity,béo phì
objection,sự phản đối
oblige,bắt buộc
observer,người quan sát
obsess,ám ảnh
obsession,sự ám ảnh
obstacle,chướng ngại vật
occasional,thỉnh thoảng
occupation,nghề nghiệp
occupy,chiếm đóng
occurrence,sự xuất hiện
odds,tỷ lệ cược
offender,người phạm tội
offering,cung cấp
offspring,con cháu
ongoing,đang diễn ra
openly,công khai
opera,vở opera
operational,hoạt động
operator,người điều hành
opt,lựa chọn
optical,quang học
optimism,sự lạc quan
optimistic,lạc quan
oral,miệng
orchestra,dàn nhạc
organic,hữu cơ
organizational,tổ chức
orientation,định hướng
originate,có nguồn gốc
outbreak,sự bùng phát
outfit,trang phục
outing,chuyến đi chơi
outlet,chỗ thoát
outlook,triển vọng
output,đầu ra
outrage,sự phẫn nộ
outsider,người ngoài cuộc
outstanding,nổi bật
overcome,vượt qua
overlook,bỏ qua
overly,quá mức
overnight,qua đêm
overseas,ở nước ngoài
oversee,giám sát
overturn,lật đổ
overwhelm,áp đảo
overwhelming,áp đảo
ownership,quyền sở hữu
oxygen,ôxy
packet,gói
pad,miếng đệm
palm,cây cọ
panic,hoảng loạn
parade,cuộc diễu hành
parallel,song song
parameter,tham số
parental,cha mẹ
parish,giáo xứ
parliamentary,nghị viện
part-time,bán thời gian
partial,một phần
partially,một phần
participation,sự tham gia
partnership,quan hệ đối tác
passing,đi qua
passionate,say đắm
passive,thụ động
password,mật khẩu
pastor,mục sư
patch,miếng vá
patent,bằng sáng chế
pathway,con đường
patience,tính kiên nhẫn
patrol,tuần tra
patron,người bảo trợ
pause,tạm dừng
peak,đỉnh cao
peasant,nông dân
peculiar,riêng
peer,đồng đẳng
penalty,hình phạt
perceive,nhận thức
perception,sự nhận thức
permanently,vĩnh viễn
persist,kiên trì
persistent,dai dẳng
personnel,nhân viên
petition,đơn kiến nghị
philosopher,nhà triết học
philosophical,triết học
physician,bác sĩ
pill,viên thuốc
pioneer,người tiên phong
pipeline,đường ống
pirate,cướp biển
pit,hố
pity,lòng thương xót
placement,vị trí
plea,lời thú tội
plead,cầu xin
pledge,lời cam kết
plug,phích cắm
plunge,lao xuống
pole,cực
poll,cuộc thăm dò
pond,ao
pop,nhạc pop
portfolio,danh mục đầu tư
portion,phần
portray,miêu tả
post-war,sau chiến tranh
postpone,hoãn
potentially,có khả năng
